,NormMSE,Pearson,Spearman
K562(?)_SEC63+ctrl_1+1,0.17906365,0.8564994348403493,0.9964912280701754
K562(?)_FECH+ctrl_1+1,0.24682774,0.8564280284461356,0.9819548872180449
K562(?)_TMED10+ctrl_1+1,0.106753476,0.9495784994217428,0.9912280701754386
K562(?)_HSPA5+ctrl_1+1,0.8875614,0.8057575243321788,0.7112781954887217
K562(?)_SEC61G+ctrl_1+1,0.40154713,0.8742360716047175,0.9157894736842105
K562(?)_PPWD1+ctrl_1+1,0.14718454,0.913896815323282,0.975438596491228
K562(?)_UFL1+ctrl_1+1,0.14618295,0.9366471706353551,0.9771929824561404
K562(?)_SEL1L+ctrl_1+1,0.35559386,0.8936063006979913,0.9578947368421054
K562(?)_SOCS1+ctrl_1+1,0.20249476,0.8696720586963034,0.9879699248120299
K562(?)_TTI1+ctrl_1+1,0.21878646,0.9449612322309667,0.9596491228070174
K562(?)_SAMM50+ctrl_1+1,0.1918095,0.969227079745844,0.9649122807017543
K562(?)_GNPNAT1+ctrl_1+1,0.13992585,0.8935529114097501,0.987719298245614
K562(?)_AMIGO3+ctrl_1+1,0.21356297,0.9241998961637004,0.9894736842105262
K562(?)_IER3IP1+ctrl_1+1,0.5397906,0.9020402281319162,0.9245614035087718
K562(?)_TTI2+ctrl_1+1,0.16300932,0.8677960729840664,0.9929824561403509
K562(?)_EIF2B4+ctrl_1+1,0.31940606,0.9299155131401784,0.9350877192982456
K562(?)_EIF2B2+ctrl_1+1,0.35337675,0.8995986368882136,0.8964912280701753
K562(?)_ARHGAP22+ctrl_1+1,0.40022632,0.805430316860337,0.9548872180451128
K562(?)_TIMM23+ctrl_1+1,0.21042559,0.9762245690840767,0.9684210526315788
K562(?)_DNAJC19+ctrl_1+1,0.17606908,0.9811160819796301,0.9736842105263157
K562(?)_SYVN1+ctrl_1+1,0.19154572,0.9472501056216184,0.9842105263157893
K562(?)_SLC35B1+ctrl_1+1,0.10102401,0.9674668068715379,0.9859649122807018
K562(?)_DARS+ctrl_1+1,0.3679557,0.8679490679595631,0.7964912280701755
K562(?)_QARS+ctrl_1+1,0.43701586,0.8908591758554585,0.8350877192982457
